annotation,n_cells
adipocytes,93
alpha_cells,326
alveolar_epithelial_cells,96
amplifying_cells,889
astrocytes,444
b_cells,3902
basal_cells,1860
basal_or_differentiating,190
beta_cells,411
cardiomyocytes,140
chromaffin_cells,25
ciliated_cells,14
club_cells,13
collecting_duct_cells,44
delta_cells,91
dendritic_cells,69
duct_cells,131
endothelial_cells,3967
enterocytes,782
epithelial_cells,175
erythroblasts_and_adipocytes,51
exocrine_cells,177
fenestrated_capillaries,69
fibro_or_adipogenic_progenitors,486
fibroblasts,2152
filliform_keratinocytes,181
goblet_cells,814
granulocytes,789
hematopoietic_cells,17
hematopoietic_stem_cell,1291
hepatocytes,417
immune_cells,800
inner_bulge,824
interfollicular_epidermis,847
luminal_cells,688
luminal_progenitors,396
macrophages,176
mesenchymal_cells,656
mesothelial_cells,2
microglia,4329
monocytes,389
multipotent_progenitors,1924
muscle_cells,27
muscle_stem_cells,546
myeloid_cells,527
natural_killer_cells,165
neural_progenitor_cells,36
neuroendocrine_cells,2
neurons,196
neutrophils,820
non-parenchymal_cells,108
oligodendrocytes,1175
opcs,202
outer_bulge,547
pericytes,132
pp_cells,68
proliferating,192
proliferating_cells,45
red_blood_cells,11
satellite_cells,442
smooth_muscle_cells,255
stellate_cells,29
stratified_or_differentiating,345
stromal_cells,1374
stromal_mesenchymal_stem_cell,33
t_cells,2387
thick_ascending_tubule_cells,67
tubule,194
tuft_cells,45
undifferentiated_cells,904
unknown,176
